Decimal,Hex,Alpha Tag,Mode,Category,Tag,Description
10420,28b4,R6 SE CMN,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 6 Special Event Common --- Z2 Interop - Zone 2 Interoperability --- Interop
10421,28b5,R6 SE 1,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 6 Special Event 1 --- Z2 Interop - Zone 2 Interoperability --- Interop
10422,28b6,R6 SE 2,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 6 Special Event 2 --- Z2 Interop - Zone 2 Interoperability --- Interop
10423,28b7,R6 SE 3,T,Z2 Interop - Zone 2 Interoperability,Interop,Region 6 Special Event 3 --- Z2 Interop - Zone 2 Interoperability --- Interop
10501,2905,ST SE CMN,T,State Interop - Statewide Interoperability,Interop,State Special Event Common --- State Interop - Statewide Interoperability --- Interop
10502,2906,ST SE 1,T,State Interop - Statewide Interoperability,Interop,State Special Event 1 --- State Interop - Statewide Interoperability --- Interop
10503,2907,ST SE 2,T,State Interop - Statewide Interoperability,Interop,State Special Event 2 --- State Interop - Statewide Interoperability --- Interop
10504,2908,ST SE 3,T,State Interop - Statewide Interoperability,Interop,State Special Event 3 --- State Interop - Statewide Interoperability --- Interop
10701,29cd,R2 SE CMN,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 2 Special Event Common --- Z3 Interop - Zone 3 Interoperability --- Interop
10702,29ce,R2 SE 1,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 2 Special Event 1 --- Z3 Interop - Zone 3 Interoperability --- Interop
10703,29cf,R2 SE 2,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 2 Special Event 2 --- Z3 Interop - Zone 3 Interoperability --- Interop
10704,29d0,R2 SE 3,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 2 Special Event 3 --- Z3 Interop - Zone 3 Interoperability --- Interop
10710,29d6,R3 SE CMN,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 3 Special Event Common --- Z3 Interop - Zone 3 Interoperability --- Interop
10711,29d7,R3 SE 1,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 3 Special Event 1 --- Z3 Interop - Zone 3 Interoperability --- Interop
10712,29d8,R3 SE 2,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 3 Special Event 2 --- Z3 Interop - Zone 3 Interoperability --- Interop
10713,29d9,R3 SE 3,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 3 Special Event 3 --- Z3 Interop - Zone 3 Interoperability --- Interop
10720,29e0,R4 SE CMN,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 4 Special Event Common --- Z3 Interop - Zone 3 Interoperability --- Interop
10721,29e1,R4 SE 1,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 4 Special Event 1 --- Z3 Interop - Zone 3 Interoperability --- Interop
10722,29e2,R4 SE 2,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 4 Special Event 2 --- Z3 Interop - Zone 3 Interoperability --- Interop
10723,29e3,R4 SE 3,T,Z3 Interop - Zone 3 Interoperability,Interop,Region 4 Special Event 3 --- Z3 Interop - Zone 3 Interoperability --- Interop
12021,2ef5,MHP D7 DISP,Te,MHP - Mississippi Highway Safety Patrol - District 7,Law Dispatch,District 7 - Troop J Dispatch --- MHP - Mississippi Highway Safety Patrol - District 7 --- Law Dispatch
12023,2ef7,MHP D7 C2C,TE,MHP - Mississippi Highway Safety Patrol - District 7,Law Talk,District 7 - Troop J Car to Car --- MHP - Mississippi Highway Safety Patrol - District 7 --- Law Talk
12031,2eff,MHP D8 DISP,Te,MHP - Mississippi Highway Safety Patrol - District 8,Law Dispatch,District 8 - Troop K Dispatch --- MHP - Mississippi Highway Safety Patrol - District 8 --- Law Dispatch
12033,2f01,MHP D8 C2C,TE,MHP - Mississippi Highway Safety Patrol - District 8,Law Talk,District 8 - Troop K Car to Car --- MHP - Mississippi Highway Safety Patrol - District 8 --- Law Talk
12041,2f09,MHP D9 DISP,Te,MHP - Mississippi Highway Safety Patrol - District 9,Law Dispatch,District 9 - Troop M Dispatch --- MHP - Mississippi Highway Safety Patrol - District 9 --- Law Dispatch
12043,2f0b,MHP D9 C2C,TE,MHP - Mississippi Highway Safety Patrol - District 9,Law Talk,District 9 - Troop M Car to Car --- MHP - Mississippi Highway Safety Patrol - District 9 --- Law Talk
12151,2f77,CCWC REG 3,TE,MDOC - Mississippi Department of Corrections,Corrections,Correctional Community Work Centers - Region 3 --- MDOC - Mississippi Department of Corrections --- Corrections
12153,2f79,SMCI MAIN,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Main --- MDOC - Mississippi Department of Corrections --- Corrections
12155,2f7b,SMCI AREA 1,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Area 1 --- MDOC - Mississippi Department of Corrections --- Corrections
12157,2f7d,SMCI AREA 2,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Area 2 --- MDOC - Mississippi Department of Corrections --- Corrections
12159,2f7f,SMCI AREA 3,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Area 3 --- MDOC - Mississippi Department of Corrections --- Corrections
12161,2f81,SMCI CONTROL CEN,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Control Center --- MDOC - Mississippi Department of Corrections --- Corrections
12163,2f83,SMCI MAINT,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Maintenance --- MDOC - Mississippi Department of Corrections --- Corrections
12165,2f85,SMCI CID,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Corrections Investigation Division --- MDOC - Mississippi Department of Corrections --- Corrections
12167,2f87,SMCI CID TAC,TE,MDOC - Mississippi Department of Corrections,Corrections,South Mississippi Correctional Institution - Corrections Investigation Division Tactical --- MDOC - Mississippi Department of Corrections --- Corrections
12200,2fa8,MDOT R3 TAC,T,MHP CTED - Commerical Transportation Enforcement Division,Law Tac,Region 3 Tactical --- MHP CTED - Commerical Transportation Enforcement Division --- Law Tac
12201,2fa9,MDOT DIST G H CA,T,MHP CTED - Commerical Transportation Enforcement Division,Law Talk,District G and H Car to Car --- MHP CTED - Commerical Transportation Enforcement Division --- Law Talk
12202,2faa,MDOT DIST M CAR,T,MHP CTED - Commerical Transportation Enforcement Division,Law Talk,District M Car to Car --- MHP CTED - Commerical Transportation Enforcement Division --- Law Talk
12203,2fab,MDOT R3 M/A,T,MHP CTED - Commerical Transportation Enforcement Division,Interop,Region 3 Mutual Aid --- MHP CTED - Commerical Transportation Enforcement Division --- Interop
12410,307a,MBN SRO,TE,MBN - Mississippi Bureau of Narcotics,Law Dispatch,Southern Regional Office  --- MBN - Mississippi Bureau of Narcotics --- Law Dispatch
12411,307b,MBN MCCOMB,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,McComb  --- MBN - Mississippi Bureau of Narcotics --- Law Tac
12412,307c,MBN HBURG,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Hattiesburg   --- MBN - Mississippi Bureau of Narcotics --- Law Tac
12415,307f,MBN OPS,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Operations  --- MBN - Mississippi Bureau of Narcotics --- Law Tac
12417,3081,MBN OPS,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Operations  --- MBN - Mississippi Bureau of Narcotics --- Law Tac
12427,308b,MBN OPS,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Operations  --- MBN - Mississippi Bureau of Narcotics --- Law Tac
12571,311b,ABC ENF D4 TAC,T,MDOR - Mississippi Department of Revenue,Law Tac,Alcohol Beverage Control - Enforcement D4 Tactical --- MDOR - Mississippi Department of Revenue --- Law Tac
12575,311f,ABC ENF D5 TAC,T,MDOR - Mississippi Department of Revenue,Law Tac,Alcohol Beverage Control - Enforcement D5 Tactical --- MDOR - Mississippi Department of Revenue --- Law Tac
12576,3120,ABC ENF D6 TAC,T,MDOR - Mississippi Department of Revenue,Law Tac,Alcohol Beverage Control - Enforcement D6 Tactical --- MDOR - Mississippi Department of Revenue --- Law Tac
12583,3127,MMD Z1 12583,T,MMD - Mississippi Military Department,Military,MMD Zone 1 12583 --- MMD - Mississippi Military Department --- Military
12584,3128,MMD Z1 12584,T,MMD - Mississippi Military Department,Military,MMD Zone 1 12584 --- MMD - Mississippi Military Department --- Military
12585,3129,MMD Z1 ICC,T,MMD - Mississippi Military Department,Military,MMD Zone 1 Incident Command Center --- MMD - Mississippi Military Department --- Military
12586,312a,MMD Z1 12586,T,MMD - Mississippi Military Department,Military,MMD Zone 1 12586 --- MMD - Mississippi Military Department --- Military
12587,312b,MMD Z1 12587,T,MMD - Mississippi Military Department,Military,MMD Zone 1 12587 --- MMD - Mississippi Military Department --- Military
13011,32d3,MHP STATE WIDE,Te,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,State Wide --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13013,32d5,MHP SW C-C,T,MHP - Mississippi Highway Safety Patrol - Statewide,Law Talk,Statewide Car to Car --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Talk
13021,32dd,MHP D1 DISP,Te,MHP - Mississippi Highway Safety Patrol - District 1,Law Dispatch,District 1 - Troop C Dispatch --- MHP - Mississippi Highway Safety Patrol - District 1 --- Law Dispatch
13023,32df,MHP D1 C2C,TE,MHP - Mississippi Highway Safety Patrol - District 1,Law Talk,District 1 - Troop C Car to Car --- MHP - Mississippi Highway Safety Patrol - District 1 --- Law Talk
13031,32e7,MHP D5 DISP,Te,MHP - Mississippi Highway Safety Patrol - District 5,Law Dispatch,District 5 - Troop G Dispatch --- MHP - Mississippi Highway Safety Patrol - District 5 --- Law Dispatch
13033,32e9,MHP D5 C2C,TE,MHP - Mississippi Highway Safety Patrol - District 5,Law Talk,District 5 - Troop G Car to Car --- MHP - Mississippi Highway Safety Patrol - District 5 --- Law Talk
13041,32f1,MHP D6 DISP,Te,MHP - Mississippi Highway Safety Patrol - District 6,Law Dispatch,District 6 - Troop H Dispatch --- MHP - Mississippi Highway Safety Patrol - District 6 --- Law Dispatch
13043,32f3,MHP D6 C2C,TE,MHP - Mississippi Highway Safety Patrol - District 6,Law Talk,District 6 - Troop H Car to Car --- MHP - Mississippi Highway Safety Patrol - District 6 --- Law Talk
13051,32fb,MHP AIR UNIT,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Aircraft --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13053,32fd,MHP SWAT OPS,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,SWAT Operations --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13054,32fe,MHP INV,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Talk,Investigations --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Talk
13055,32ff,MHP INT UNIT,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Interdiction Units --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13057,3301,MHP MCS DIV,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Motor Carrier Safety Division --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13059,3303,MHP SOG 1,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Special Operations Group --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13060,3304,MHP Tech,Te,MSWIN Maintenance,Public Works,MS Highway Patrol Radio Technicians --- MSWIN Maintenance --- Public Works
13073,3311,MHP 13073,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Ops 13073 --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13075,3313,MHP CYCLES,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Motorcycle Division --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13077,3315,MHP 13077,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Ops 13077 --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13079,3317,MHP 13079,TE,MHP - Mississippi Highway Safety Patrol - Statewide,Law Tac,Ops 13079 --- MHP - Mississippi Highway Safety Patrol - Statewide --- Law Tac
13101,332d,MDOC SW MAIN,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide Main --- MDOC - Mississippi Department of Corrections --- Corrections
13103,332f,MDOC SW C-C,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide Car to Car --- MDOC - Mississippi Department of Corrections --- Corrections
13104,3330,MDOC ADMIN,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Administration --- MDOC - Mississippi Department of Corrections --- Corrections
13105,3331,MDOC SW TRAIN,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide Training --- MDOC - Mississippi Department of Corrections --- Corrections
13106,3332,MDOC SW TRSP,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide Transport --- MDOC - Mississippi Department of Corrections --- Corrections
13107,3333,MDOC SW K9,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide K9 --- MDOC - Mississippi Department of Corrections --- Corrections
13109,3335,MDOC SW EOC,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide EOC --- MDOC - Mississippi Department of Corrections --- Corrections
13111,3337,MDOC SW TEL,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide TEL --- MDOC - Mississippi Department of Corrections --- Corrections
13113,3339,MDOC SW CID,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide CID --- MDOC - Mississippi Department of Corrections --- Corrections
13115,333b,MDOC SW CID TAC,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - Statewide CID Tactical --- MDOC - Mississippi Department of Corrections --- Corrections
13151,335f,CCWC REG 2,TE,MDOC - Mississippi Department of Corrections,Corrections,Correctional Community Work Centers - Region 2 --- MDOC - Mississippi Department of Corrections --- Corrections
13153,3361,CMCF MAIN,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Main --- MDOC - Mississippi Department of Corrections --- Corrections
13155,3363,CMCF AREA 1,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Area 1 --- MDOC - Mississippi Department of Corrections --- Corrections
13156,3364,CMCF AREA 2,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Area 2 --- MDOC - Mississippi Department of Corrections --- Corrections
13157,3365,CMCF AREA 3,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Area 3 --- MDOC - Mississippi Department of Corrections --- Corrections
13158,3366,CMCF AREA 4,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Area 4 --- MDOC - Mississippi Department of Corrections --- Corrections
13159,3367,CMCF AREA 5,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Area 5 --- MDOC - Mississippi Department of Corrections --- Corrections
13161,3369,CMCF CON SEC,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - CON SEC --- MDOC - Mississippi Department of Corrections --- Corrections
13163,336b,CMCF MAINT,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Maintenance --- MDOC - Mississippi Department of Corrections --- Corrections
13165,336d,CMCF CID,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Corrections Investigation Division --- MDOC - Mississippi Department of Corrections --- Corrections
13167,336f,CMCF CID TAC,TE,MDOC - Mississippi Department of Corrections,Corrections,Central Mississippi Correctional Facility - Corrections Investigation Division Tactical --- MDOC - Mississippi Department of Corrections --- Corrections
13169,3371,MDOC CO CID,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - CO CID --- MDOC - Mississippi Department of Corrections --- Corrections
13171,3373,MDOC CO CID TAC,TE,MDOC - Mississippi Department of Corrections,Corrections,Mississippi Department of Corrections - CO CID Tactical --- MDOC - Mississippi Department of Corrections --- Corrections
13200,3390,MDOT DISP,T,MHP CTED - Commerical Transportation Enforcement Division,Law Dispatch,Statewide Dispatch --- MHP CTED - Commerical Transportation Enforcement Division --- Law Dispatch
13201,3391,MDOT ADM WIDE,T,MHP CTED - Commerical Transportation Enforcement Division,Law Talk,Admin Wide --- MHP CTED - Commerical Transportation Enforcement Division --- Law Talk
13202,3392,MDOT INVEST,T,MHP CTED - Commerical Transportation Enforcement Division,Law Tac,Investigation --- MHP CTED - Commerical Transportation Enforcement Division --- Law Tac
13203,3393,MDOT R2 TAC,T,MHP CTED - Commerical Transportation Enforcement Division,Law Tac,Region 2 Tactical --- MHP CTED - Commerical Transportation Enforcement Division --- Law Tac
13204,3394,MDOT DIST Y CAR,T,MHP CTED - Commerical Transportation Enforcement Division,Law Talk,District Y Car to Car --- MHP CTED - Commerical Transportation Enforcement Division --- Law Talk
13205,3395,MDOT DIST N CAR,T,MHP CTED - Commerical Transportation Enforcement Division,Law Talk,District N Car to Car --- MHP CTED - Commerical Transportation Enforcement Division --- Law Talk
13206,3396,MDOT RADIO SHOP,T,MHP CTED - Commerical Transportation Enforcement Division,Public Works,Radio Shop --- MHP CTED - Commerical Transportation Enforcement Division --- Public Works
13207,3397,MDOT TAC WIDE,T,MHP CTED - Commerical Transportation Enforcement Division,Law Tac,Tactical Wide --- MHP CTED - Commerical Transportation Enforcement Division --- Law Tac
13209,3399,MDOT R2 M/A,T,MHP CTED - Commerical Transportation Enforcement Division,Interop,Region 2 Mutual Aid --- MHP CTED - Commerical Transportation Enforcement Division --- Interop
13397,3455,AL THEFT TAC,T,MDAC - Mississippi Department of Agriculture ,Law Tac,Agricultural / Livestock Theft Bureau Tactical --- MDAC - Mississippi Department of Agriculture  --- Law Tac
13398,3456,AL THEFT CAR,T,MDAC - Mississippi Department of Agriculture ,Law Talk,Agricultural / Livestock Theft Bureau Car-Car --- MDAC - Mississippi Department of Agriculture  --- Law Talk
13399,3457,AL THEFT MAIN,T,MDAC - Mississippi Department of Agriculture ,Law Dispatch,Agricultural / Livestock Theft Bureau Primary --- MDAC - Mississippi Department of Agriculture  --- Law Dispatch
13400,3458,MBN HQ,TE,MBN - Mississippi Bureau of Narcotics,Law Dispatch,Headquarters  --- MBN - Mississippi Bureau of Narcotics --- Law Dispatch
13402,345a,MBN OPS,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Operations  --- MBN - Mississippi Bureau of Narcotics --- Law Tac
13451,348b,MBN OPS,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Operations  --- MBN - Mississippi Bureau of Narcotics --- Law Tac
13452,348c,MBN OPS,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Operations  --- MBN - Mississippi Bureau of Narcotics --- Law Tac
13474,34a2,MBN AIR OPS,TE,MBN - Mississippi Bureau of Narcotics,Law Tac,Aircraft Operations --- MBN - Mississippi Bureau of Narcotics --- Law Tac
13500,34bc,OAG ATD CMN,T,MSOAG - Mississippi Office of The Attorney General,Law Talk,OAG ATD Common --- MSOAG - Mississippi Office of The Attorney General --- Law Talk
13501,34bd,OAG ATD ADMIN,T,MSOAG - Mississippi Office of The Attorney General,Law Talk,OAG ATD Administration --- MSOAG - Mississippi Office of The Attorney General --- Law Talk
13502,34be,OAG ATD SW,T,MSOAG - Mississippi Office of The Attorney General,Law Talk,OAG ATD Statewide --- MSOAG - Mississippi Office of The Attorney General --- Law Talk
13503,34bf,OAG PID TAC,T,MSOAG - Mississippi Office of The Attorney General,Law Talk,OAG Public Integrity Division Tactical --- MSOAG - Mississippi Office of The Attorney General --- Law Talk
13504,34c0,OAG CCD TAC,T,MSOAG - Mississippi Office of The Attorney General,Law Talk,OAG Cyber Crime Division Tactical --- MSOAG - Mississippi Office of The Attorney General --- Law Talk
13505,34c1,OAG CD TAC,T,MSOAG - Mississippi Office of The Attorney General,Law Talk,OAG Consumer Protection Division --- MSOAG - Mississippi Office of The Attorney General --- Law Talk
13541,34e5,CAPITOL PD PRI,T,MSCP - Mississippi State Capitol Police,Law Dispatch,Capitol Police - Primary --- MSCP - Mississippi State Capitol Police --- Law Dispatch
